City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
659,Vila Do Maio,CV,79.59,broken clouds,15.1333,-23.2167,Hotel Marilu
660,Mangan,IN,72.28,overcast clouds,27.5167,88.5333,Hotel Mout View
667,Nouakchott,MR,73.33,few clouds,18.0858,-15.9785,HOTEL IMAN
669,Makokou,GA,79.84,light rain,0.5738,12.8642,Hôtel
676,Kambam,ID,78.13,overcast clouds,5.2505,96.8629,Rumah mutia
682,Yeppoon,AU,71.38,few clouds,-23.1333,150.7333,Villa Mar Colina
686,Pandan,PH,78.96,light rain,14.0453,124.1694,Bonifacio Lodge
687,Ayolas,PY,78.71,broken clouds,-27.4,-56.9,Hotel Ayolas
689,Masindi,UG,75.42,scattered clouds,1.6744,31.715,New Court View Hotel
690,Chiang Klang,TH,73.49,scattered clouds,19.2938,100.8617,Sangthong Resort
693,Watsa,CD,77.88,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
694,Rincon,US,75.85,scattered clouds,32.296,-81.2354,Days Inn Rincon
704,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
705,Mashhad,IR,75.34,clear sky,36.297,59.6062,Khanye Sabz Hotel
707,Shakiso,ET,73.53,scattered clouds,5.75,38.9167,Bealu Girma Hottel
